name, latitude, longitude, rank, score, private, religious, catholic, type
Cockburn,0.000000,0.000000,0.232558,46.000000,FALSE,FALSE,FALSE,Secondary
Mount St Marys Catholic High School,53.793860,-1.526880,0.209302,45.000000,FALSE,TRUE,TRUE,Secondary
David Young Community Academy,53.819843,-1.476535,0.186047,44.000000,FALSE,FALSE,FALSE,Secondary
New Horizon Community School,0.000000,0.000000,0.162791,42.000000,TRUE,FALSE,FALSE,Secondary
Carr Manor Community School,53.832445,-1.554093,0.139535,41.000000,FALSE,FALSE,FALSE,Secondary
Leeds East Academy,53.815817,-1.461857,0.116279,38.000000,FALSE,FALSE,FALSE,Secondary
John Smeaton Community College,0.000000,0.000000,0.093023,38.000000,FALSE,FALSE,FALSE,Secondary
The Co-operative Academy of Leeds,53.802616,-1.520949,0.069767,33.000000,FALSE,FALSE,FALSE,Secondary
South Leeds Academy,53.801112,-1.534924,0.046512,31.000000,FALSE,FALSE,FALSE,Secondary
Swallow Hill Community College,53.794417,-1.605504,0.023256,28.000000,FALSE,FALSE,FALSE,Secondary
City of Leeds School,53.817779,-1.558321,0.000000,26.000000,FALSE,FALSE,FALSE,Secondary
